Subject,LRT,RRT,RTMax,Lacc,Racc,Bacc,PrevAcc,Block,SubTrial,Lstim,Rstim,Stim1,Stim2,S-Chord,CResp1,CResp2,Resp1,Resp2,R-Chord,RewardType,AfterRew,Rmapping,Trial 1,BadTime,Repeat,Async,ChordType,Useable,RewMag
24,911,898,911,1,1,1,0,5,5,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,0,0,1,SC,0,190
24,1171,1164,1171,1,1,1,1,5,6,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,1,2,0,0,0,1,SI,1,50
24,1146,1139,1146,1,1,1,1,5,7,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,1,2,0,0,0,1,SC,1,0
24,1025,1019,1025,1,1,1,1,5,8,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,1,50
24,1224,1182,1224,1,1,1,1,5,9,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,1,2,0,0,0,1,SC,1,170
24,895,869,895,1,1,1,1,5,10,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,1,2,0,0,0,1,SI,1,0
24,1478,1436,1478,1,1,1,1,5,11,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,0,2,0,0,0,1,SI,1,0
24,1469,1443,1469,0,1,0,1,5,12,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,0,160
24,2041,1983,2041,1,1,1,0,5,13,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,0,1,0,1,SI,0,0
24,1258,1244,1258,1,1,1,1,5,14,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,0,0,1,SC,1,200
24,1309,1267,1309,1,1,1,1,5,15,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,1,2,0,0,0,1,SI,1,0
24,1508,1530,1530,1,1,1,1,5,16,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,0,2,0,0,0,1,SI,1,190
24,1307,1281,1307,1,1,1,1,5,17,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,1,2,0,0,0,1,SI,1,0
24,1410,1403,1410,0,1,0,1,5,18,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,0,2,0,0,0,1,SI,0,170
24,1743,1736,1743,1,1,1,0,5,19,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,0,0,0,1,SI,0,0
