Subject,Sex,Group,Rmapping,CB,RTL,RTR,RTMax,Asynchrony,AccL,AccR,Bacc,Block,Trial, F1,Face2,R1,R2,Chord,CResp1,CResp2,RewardType,ChordType,Rewarded,Code,PrevReward,AfterReward,Practiced,PrevAcc,GoodFast,Repeats,Useable,Qchord,QRecall,QRespQ,Composite Awareness
1,2,1,1,1,1328,1366,1366,38,1,1,1,3,26,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1175,1181,1181,6,1,1,1,3,27,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1902,1908,1908,6,1,1,1,3,28,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1221,1227,1227,6,1,1,1,3,29,Face4.jpg,Face8.jpg,4,8,48,r,p,U,SC,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1276,1268,1276,8,1,1,1,3,30,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1459,1465,1465,6,1,1,1,3,31,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1322,1315,1322,7,1,1,1,3,32,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1201,1223,1223,22,1,1,1,3,33,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1288,1278,1288,10,1,1,1,3,34,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1311,1285,1311,26,1,1,1,3,35,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1030,1004,1030,26,1,1,1,3,36,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1231,1219,1231,12,1,1,1,3,37,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1252,1258,1258,6,1,1,1,3,38,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1114,1073,1114,41,1,1,1,3,39,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1217,1223,1223,6,1,1,1,3,40,Face4.jpg,Face7.jpg,4,7,47,r,o,R,SI,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1160,1150,1160,10,1,1,1,3,41,Face4.jpg,Face8.jpg,4,8,48,r,p,U,SC,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1487,1509,1509,22,1,1,1,3,42,Face4.jpg,Face7.jpg,4,7,47,r,o,R,SI,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1334,1339,1339,5,1,1,1,3,43,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,925,915,925,10,1,1,1,3,44,Face4.jpg,Face8.jpg,4,8,48,r,p,U,SC,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1300,1305,1305,5,1,1,1,3,45,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1254,1260,1260,6,1,1,0,4,1,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,1,1,1,1,1,0,0,,,0,1
1,2,1,1,1,1117,1107,1117,10,1,1,1,4,2,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,0,1,0,1,,,0,1
1,2,1,1,1,1236,1242,1242,6,1,1,1,4,3,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1371,1409,1409,38,1,1,1,4,4,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1170,1176,1176,6,1,1,1,4,5,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,953,959,959,6,1,1,1,4,6,Face4.jpg,Face7.jpg,4,7,47,r,o,R,SI,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1632,1638,1638,6,1,1,1,4,7,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1015,1005,1015,10,1,1,1,4,8,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,702,660,702,42,1,0,0,4,9,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,1,1,0,0,,,0,1
1,2,1,1,1,1293,1280,1293,13,1,1,1,4,10,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,0,1,0,1,,,0,1
1,2,1,1,1,1537,1543,1543,6,1,1,1,4,11,Face4.jpg,Face8.jpg,4,8,48,r,p,U,SC,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1115,1102,1115,13,1,1,1,4,12,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1055,1048,1055,7,1,1,1,4,13,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1382,1404,1404,22,1,1,1,4,14,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,0,0,1,1,1,0,1,,,0,1
